headword,entry_text,page
a'diuntunpalli,"*a'diuntunpalli (*a'diuntuñi) vt. hacer que se reunan, reunir.",7
a'du'ker',a'du'ker' vt. ¡siéntalo! ¡Nana,7
a'du'palli,*a'du'palli (*a'du'lli) vt. sentar,8
a'du'tapalli,a'du'tapalli (a'du'tulli) 1) vi.,8
a'du'tulli.,a'du'tulli. Ya sentó (algo). 2) vt. sentar sobre algo.,8
a'du'ter',a'du'ter' vt. ¡siénta(lo) sobre eso! ¡Nana lanchimek,8
a'dudektuna,"a'dudektuna, a'dudektunan s.",8
a'dulertapalli,*a'dulertapalli (*a'dulerchulli) vt.,8
a'iketcheklli,a'iketcheklli) vt. embrujar a alguien. Mañir,8
a'iketchektutek,a'iketchektutek (a'ike'chektutek) nom. brujo. A'iketchektutekler,8
a'imanantapalli,*a'imanantapalli (a'imanantulli) vt. asustar.,8
a'imananter',a'imananter' vt. ¡asústalo!,9
a'ka,"a'ka prt. ciertamente, por el contrario. Ipa'la'ka",9
a'ka'apalli,a'ka'apalli (a'ka'lli) vb. dar de comer. Kushellu' wilalusa',9
a'ka'ker',a'ka'ker' vb. ¡dale de comer eso! ¡Wilapen chuchu,9
a'kankantapalli,*a'kankantapalli (*a'kankantulli) vt. hacer,9
a'kankanter',a'kankanter' vt. ¡hazle recordar! ¡recuérdale! ¡Wishiku,9
a'kapen'apalli,a'kapen'apalli (a'kapenñi) vt.,9
a'kapenker',a'kapenker' vt. ¡ásalo! ¡Ker',9
a'kapentuna,"a'kapentuna, a'kapentunan s.",9
a'kasetlli,a'kasetlli; a'kase'lli) vt. endulzar. Waka'mudidek,9
a'kaserker',a'kaserker' vt. ¡endúlzalo!,9
-a'kasu'1,-a'kasu'1 v. > nom. Sufijo,10
-a'kasu'2,-a'kasu'2 v. > nom. sufijo,10
a'katen'apalli,*a'katen'apalli (a'katenñi) vt.,10
a'katenker',a'katenker' vt. ¡ponle en la boca! ¡pónselo en la boca! ¡Pinter,10
-a'kawa'su',-a'kawa'su' v. > nom. sufijo,10
-a'kudeksu',"-a'kudeksu' (-a'kudu'su') v. > nom. sufijo nominalizador,",10
a'la'ker',a'la'ker' (a'ler') vt. ¡hazle dietar! ¡haz que se abstenga de comer! ¡Mikir Antuñu,10
a'la'palli,*a'la'palli (a'la'lli) vt. hacer,11
a'la'tapalli,*a'la'tapalli (*a'la'tulli) vb.,11
a'la'ter',a'la'ter' vb. ¡hazle dietar algo! ¡Mikir Antuñu kaludun,11
a'lachikta'asu',"a'lachikta'asu' nom. intérprete, traductor. Shiwiluku'lusa'",11
a'lana,"a'lana, a'lanan s. fasaco,",11
taserpi),taserpi) s. fasaco muy grande. ¡Ma'ta'nki asu',11
a'lananpilek,"a'lananpilek ""con el cuerpo del fasaco"" s. fasaco machaco,",11
a'lata'palli,*a'lata'palli (a'lata'lli) vb.,11
a'lawinker',a'lawinker' vi. ¡corre la voz!,11
a'lawinpalli,*a'lawinpalli (*a'lawiñi) vt.,11
a'lek'apalli,a'lek'apalli (a'leklli) vb.,12
a'lekker',"a'lekker' vb. ¡enséñale! ¡enséñaselo! ¡Libiá,",12
a'lekta'su',"a'lekta'su' nom. maestro,",12
a'lektapalli,*a'lektapalli (*a'lektulli) vi. enseñar. Senñula',12
a'lekter',a'lekter' vi. ¡enseña! ¡A'lekter' ninchitupidekkek! ¡Enseña en la escuela!,12
a'lekterkasu',"a'lekterkasu' nom. profesores,",12
a'lektu-pidek,"a'lektu-pidek s. escuela, centro",12
a'lerapalli,*a'lerapalli (a'lelli) vt. asar (la,12
a'lerker',a'lerker' vt. ¡ásalo! ¡A'lerker',13
a'lerpi,a'lerpi nom. tubérculo o plátano asado. Mañir tanku,13
a'lli'tapalli,"a'lli'tapalli (a'lli'tulli) vt. hacer que otro se dé cuenta, hacer que otro sea consciente.",13
a'llupi,a'llupi adj. grande. Unma' i'na,13
a'llupinantapilalli,a'llupinantapilalli (a'llupinantulli) vi. ser o,13
a'llupitapilalli,"*a'llupitapilalli vi. crecer,",13
-a'mama'su',-a'mama'su' v. > nom. sufijo,14
-a'masu',-a'masu' v. > nom. sufijo,14
a'mer,a'mer adj. pequeño. Iñer,14
1),"1) adj. pequeñito, chiquito, muy pequeño. Iñer",14
dunwellina'.,dunwellina'. Los pequeños los siguieron. 2) adv. un,14
a'me'chala,a'me'chala) adv. poco a poco. A'metchala,14
a'metchinchi,a'metchinchi) adj.,14
a'nakuker',a'nakuker' vt. ¡déjalo pasar!,15
a'nakupalli,*a'nakupalli (*a'nakulli) vt.,15
a'nañiker',a'nañiker' (a'nañir') vt. ¡reparte! ¡haz alcanzar!,15
a'nañipalli,a'nañipalli (a'nañilli) vt.,15
a'nañitapalli,*a'nañitapalli (*a'nañitulli) vb. repartir algo a alguien.,15
a'nañitudekker',a'nañitudekker' vb. ¡repárteselos! ¡Lalansha',15
a'ñapalli,*a'ñapalli (*a'ñilli) vt. tener.,15
a'nu'tapalli,*a'nu'tapalli (*a'nu'tulli) vb.,15
a'nu'ter',a'nu'ter' vb. ¡mándale a hacer!,15
a'pa'tapilalli,*a'pa'tapilalli (*a'pa'tulli) vb.,15
a'pa'ter',a'pa'ter' vb. ¡mándaselo! ¡envíaselo! ¡Wilapenlusa',16
a'padiperapalli,*a'padiperapalli (*a'padipelli) vi. sanarse de,16
a'padiperapilalli,"a'padiperapilalli (*a'padipelli) vi. mejorarse,",16
a'padiperker',a'padiperker' vi. ¡mejórate!,16
a'pasen'apalli,"*a'pasen'apalli (*a'paseñi) vt. empollar, picar el huevo para que nazca el pollito.",16
a'pasenkaker',a'pasenkaker' vi. ¡haz empollar (el huevo por otra gallina)!,16
a'pasenkapalli,a'pasenkapalli (a'pasenkalli) vt. hacer empollar el huevo con otra gallina.,16
a'pasenker',a'pasenker' vt. ¡empolla!,16
a'pasudunker',a'pasudunker' (a'pasundur') vi. ¡remienda! Ma'sha,16
a'pasudunpalli,a'pasudunpalli (a'pasuduñi) vi. remendar. Wilawek,16
a'pasuduntapalli,a'pasuduntapalli vt. remendar ropa. Wilawek naninchi,17
a'pasudunter',a'pasudunter' vt. ¡remiéndalo!,17
a'pekderapalli,*a'pekderapalli (a'pekdelli) vt. electrocutar a alguien.,17
a'pekderchutek,a'pekderchutek nom. electricista. Pancho,17
a'pekderker',a'pekderker' vt. ¡electrocútalo!,17
a'perapalli,*a'perapalli (*a'pelli) vt.,17
a'petchapalli,"*a'petchapalli) vi. fastidiar,",17
a'pidatapalli,*a'pidatapalli (*a'pidatulli) vt. hacer que alguien se,17
a'pidater',a'pidater' vt. ¡haz que se quite la ropa!,18
a'pidektapalli,*a'pidektapalli (*a'pidektulli) vt. cutipar la,18
a'pidekter',a'pidekter' vt. ¡cutípale!,18
a'pimuchu,"a'pimuchu adv. es mejor que, mejor. A'pimuchu",18
a'pinta',a'pinta' adv. 1) más. ¡A'pinta',18
a'pinta',a'pinta' a'llupita'su' nom. el,18
a'sakek'apalli,"*a'sakek'apalli (*a'sakeklli) vt. alegrar a alguien, hacer",18
a'sakekker',a'sakekker' vt. ¡alégrale! ¡hazlo feliz! ¡Amishapen,18
-a'seku,-a'seku v. > nom. sufijo que,18
-a'sekudek,-a'sekudek v. > nom. sufijo que,19
-a'ser,-a'ser v. > nom. sufijo que,19
a'shuker',"a'shuker' (a'shur') vi. ¡estornuda! ¡A'shur',",19
a'shupalli,*a'shupalli (*a'shulli) vi. estornudar. Pimulada,19
-a'sik,-a'sik v. > nom. sufijo que,19
-a'sikwa',-a'sikwa' v. > nom. sufijo que,19
-a'sin,-a'sin v. > nom. sufijo que,19
-a'sinma',-a'sinma' v. > nom. sufijo que,20
a'siserapalli,*a'siserapalli (*a'siselli) vt.,20
a'siserchapalli,"*a'siserchapalli vi. amamantar,",20
a'sisercher',a'sisercher' vi. ¡da de mamar!,20
a'siserker',a'siserker' vt. ¡dale de mamar!,20
-a'su',-a'su' v. > nom. sufijo,20
a'ta',a'ta' prt. partícula interrogativa que expresa preocupación.,20
a'tamanerapalli,*a'tamanerapalli (*a'tamanelli) vt. hacer dar,20
a'tamanerker',a'tamanerker' vt. ¡hazle dar vuelta! ¡Trunpupen,21
hociquear,hociquear y levantó mi yuquita (con su hocico). val.: *tapalli2. 2) vt. hacer que,21
a'tentapalli,*a'tentapalli (*a'tentulli) vt.,21
a'tenter',a'tenter' vt. ¡préndelo!,21
a'tuker',a'tuker' vt. ¡hazle hacer!,21
a'ukapalli,*a'ukapalli (*a'ukalli) vt. calentar. Laman chinpi,21
a'uker'1,a'uker'1 vt. ¡caliéntalo! ¡A'uker' akipi! Uki'lalek. ¡Calienta la patarashca! Tengo hambre.,21
a'uker'2,a'uker'2 vb. ¡dale de beber! ¡hazle beber! ¡Uklulu',21
a'ukkuker',a'ukkuker' (a'ukkur') vt. ¡pésalo! ¡Puñañin,21
a'ukkupalli,a'ukkupalli (a'ukkulli) vt.,21
a'ukluka'ker',a'ukluka'ker' (a'ukluker') vt. ¡hiérvelo!,22
a'ukluka'palli,a'ukluka'palli (a'ukluka'lli) vt.,22
a'uksu'ketcher',a'uksu'ketcher' (a'uksu'ke'cher) vt. ¡quémalo por completo! ¡Nana da'wan,22
a'ukunpalli,*a'ukunpalli (*a'ukuñi) vt.,22
a'ukuntuna,"a'ukuntuna, a'ukuntunan s.",22
a'ulunker',a'ulunker' vi. ¡abanica! ¡ventea!,22
a'ulunpalli,*a'ulunpalli (*a'uluñi) vi. abanicar. A'uluñi ipa' yatashunsik. Abanicó,22
a'uluntapalli,*a'uluntapalli (*a'uluntulli) vt. abanicar algo o a alguien.,22
a'ulunter',a'ulunter' vt. ¡abanícale!,22
a'upalli,*a'upalli (*a'ulli) vb. dar de beber. Alasa' taserpiler,22
a'uranker',a'uranker' (a'weranker') vt. ¡dale de comer! ¡aliméntalo! ¡Wilapen a'uranker'! ¡Dale de comer a tu hijo!,23
a'utapalli,"*a'utapalli (*a'utulli) vt. dar de beber, invitar la bebida, brindar. A'utapalli",23
a'uter',a'uter' vt. ¡convida la bebida!,23
a'wanerapalli,"*a'wanerapalli (*a'wanelli) vt. parar algo, prender un árbol",23
a'wapu'palli,a'wapu'palli (a'wapu'lli) vt.,23
a'wapu'r,a'wapu'r vt. ¡hazle aumentar!,23
a'wekker',a'wekker' vt. ¡envíalo!,23
a'wektapalli,"*a'wektapalli (*a'wektulli) vb. mandar algo a alguien,",23
a'wetlli,*a'wetlli; *a'wer'lli) vt.,23
a'uranpalli,*a'uranpalli; *a'urañi) vt.,24
a'wiwerapalli,*a'wiwerapalli (*a'wiwelli) vt. mojar algo. U'lanler,24
a'yansenker',a'yansenker' vt. ¡haz empollar tu huevo! ¡empolla tu huevo!,24
Abril-duker,Abril-duker s. abril.,24
"achektuna,","achektuna, achektunan s.",24
achiktapalli,*achiktapalli (*achiktulli) vt.,24
achikter',achikter' vt. ¡míralo de frente!,24
"achiktuna,","achiktuna, achiktunan s. 1)",24
ada'sektunan,ada'sektunan s. colgador de ropa. Kutun ukunpalli,25
adanpalli,*adanpalli (*adañi) vi. 1),25
adanpilannunta'lli,adanpilannunta'lli (adankenñunta'lli) vi.,25
adanpilanta'lli,adanpilanta'lli (adanta'lli) vi.,25
adanpilencha'lli,"*adanpilencha'lli (*adencha'lli) vi. regresar, volver. Mañir uru ilan",25
adanpincha'lli,"adanpincha'lli (*adencha'lli) vi. volver, regresar. Mañir",25
adawa',adawa' adj. 1) opaco.,25
adawa'-enchekladapalli,"*adawa'-enchekladapalli (*adawa'-enchekladalli) vi. 1) dormitar, pestañear.",26
adawa'kanpalli,*adawa'kanpalli (*adawa'kañi) vi. no tener,26
adawa'la'su',"adawa'la'su' adv. levemente, no",26
adawa'palli,adawa'palli (adawa'lli) vi. 1),26
adekpalli,*adekpalli (*adeklli) vi. chancarse.,26
adektapalli,*adektapalli (*adektulli) vt.,26
adekter',adekter' vt. ¡cháncalo con tus pies! ¡Rodolfo silunen,26
adencher',adencher' vi. ¡regresa! ¡vuelve! ¡Aner yapa'lapidektan,26
adinuker',adinuker' vt. ¡insúltale!,26
adinupalli,*adinupalli (adinulli) vt. 1),27
adinutapalli,adinutapalli (adinutulli) vi.,27
adinuter',adinuter' vi. ¡critica!,27
adinututek,"adinututek nom. criticón, hablador. Malla'sha i'na",27
adiwanpalli,*adiwanpalli (*adiwañi) vi.,27
adiwanper',adiwanper' vi. ¡ahuyenta,27
adiwantapalli,"adiwantapalli (adiwantulli) vt. hacer ruido para espantar,",27
adiwanter',adiwanter' vt. ¡ahuyéntale! ¡Tumek pilli'tan,27
adu,"adu s. bujurqui, especie de pez.",27
aitek,"aitek s. guacamayo, papagayo.",28
-ak1,-ak1 (-ek3) v. > nom. sufijo,28
aka'lu',aka'lu' s. arcilla mezclada con apacharama. Awawek,28
aka'tapalli,aka'tapalli (aka'tulli) vi. tener,28
akapi,akapi s. 1) palto. Akapiwek,28
akapi-daka,"akapi-daka s. palta moena, árbol de fruto no comestible.",28
akapi-dakala,akapi-dakala s. fruto del árbol,28
aki'atulli,aki'atulli) vt. matar a,28
aki'tapalli,*aki'tapalli (aki'tulli) vt. matar,29
aki'ter',aki'ter' vt. ¡mátalo a pisotones! ¡Kukaratek aki'ter'! ¡Mata la cucaracha a pisotones!,29
akiker',"akiker' vi. ¡haz patarashca! ¡Kenma akiker'! ¡Usted,",29
akinker,"akinker s. jengibre, kion.",29
"akipalli,","akipalli, akiapalli (akilli) vi.",29
akipi,"akipi nom. patarashca, alimento",29
akitapalli,*akitapalli (*akitulli) vt.,29
akiter',akiter' vt. ¡prepáralo en patarashca! ¡cocínalo en patarashca! ¡Sametcha,29
aku'ker',aku'ker' (aku'r) vt. ¡ponlo! ¡Chinalak aku'r nana,29
aku'palli,*aku'palli (*aku'lli) vt. 1) poner. Yuyu'wa,29
aku'tapalli,*aku'tapalli (*aku'tulli) vi.,30
aku'ter',aku'ter' vi. ¡pon (huevo)!,30
akuitapalli,akuitapalli (akuitulli) vb.,30
akunter',akunter' vt. ¡anda ponlo! ¡Asu',30
akusupalli,*akusupalli (*akusulli) vt.,30
akusupi,akusupi nom. comida,30
akusur',akusur' (akusuer') vt. ¡cocínalo sancochando! ¡Ker',31
akusutapalli,"*akusutapalli (*akusutulli) vi. sancochar, cocinar",31
akusuter',"akusuter' vi. ¡cocina sancochando! ¡Akusuter',",31
-akwa',-akwa' v. > nom. sufijo de,31
ala'la'leklan,ala'la'leklan adv.,32
ala'la'leklinpa',ala'la'leklinpa' adv.,32
ala'lu'1,ala'lu'1 adv. una vez.,32
ala'lu'sa',ala'lu'sa' (ala'lunsa') adv. una,32
ala'shala,ala'shala adv. uno por uno.,33
ala'wan,ala'wan nom. de uno de ellos.,33
alcalde,alcalde gobierno) s.,33
alcalde),alcalde) s. alcalde.,33
alanker',alanker' vb. ¡préstale! ¡préstaselo! ¡Malla',33
alanpalli,"*alanpalli (*alañi) vb. prestar,",33
alei'teklunsu',"alei'teklunsu', alei'teklu'nsu' nom. quinto. Wilawek",34
alek,"alek s. shupihui, copal amarrado",34
aleklansa',"aleklansa' adv. por un lado, en",34
aleksa',aleksa' adv. en un solo lugar.,34
ali'la,"ali'la adj. otro, el uno, el otro.",34
ali'la,ali'la eklli supinan adv. tras,34
ali'lima,"ali'lima adj. dice que el otro, dice que uno; el otro, dice. Ala'sa'",34
alkusa,alkusa (cast. alcuza) s. lamparín.,34
alli'sha,alli'sha s. hermano mayor (de un,34
allisek,allisek s. trampa para animales,35
almidunlu'sha,almidunlu'sha (cast. almidón) s.,35
ama'ker',ama'ker' vi. ¡báñate!,35
ama'nter',ama'nter' vi. ¡anda báñate!,35
ama'palli,*ama'palli (*ama'lli) vi. bañarse. Isawila,35
ama'wina,"ama'wina, ama'winan s.",35
amadi',"amadi' s. hombre trigueño, de",35
amadi'lun,amadi'lun s. mujer trigueña.,35
amadi'pen,amadi'pen s. hombre de piel trigueña. Apetchawek,35
amana',"amana' s. tigre, jaguar, otorongo.",36
amantek,amantek s. sajino. Tanak,36
amantek,amantek sudula s. árbol del,36
"amenan,","amenan, amennan adj.",36
ami,"ami s. abuela, mujer vieja (habla",36
amiawa,"amiawa s. monja, madre, religiosa. Shiwiluk",36
amiku',"amiku' (ami) s. abuela finada,",36
amiku'-tanku,"amiku'-tanku s. plátano viejilla,",36
amikulluchek,amikulluchek s. papada,36
amisha,"amisha (ami) s. abuelita, viejita (habla una mujer o un",36
amitasellun,"amitasellun s. mujer vieja, abuela. lun.",37
amitasellunsha,"amitasellunsha s. viejita, abuelita. lun.",37
amitek,amitek s. placenta. Amitek,37
-amu,-amu v. > nom. sufijo de,37
amu'dek,amu'dek s. agua que ha sido enturbiada. Amu'dekkek,37
amu'dek'apalli,*amu'dek'apalli (*amu'deklli) vi. enturbiar el agua. ¡Amu'dekku',37
amu'dekker',amu'dekker' vi. ¡enturbia el agua! ¡Amu'dekker',37
amu'utek,amu'utek s. 1) barba.,37
amu'utektapalli,amu'utektapalli (amu'utektulli) vi. 1) tener barba. Santushalusa',37
-amudek,-amudek v. > nom. sufijo de,37
amukankan,amukankan s. pelo en el pecho.,38
amukankantapalli,*amukankantapalli (*amukankantulli) vi.,38
amunsha,amunsha s. camungo.,38
amupi,"amupi s. pelo en el cuerpo, pelo",38
-an,-an (-en) v. > nom. sufijo de,38
anadek,anadek s. agua hedionda. ¡Anadekkek yama'ta! ¡No,38
anadek'apilalli,*anadek'apilalli (*anadeklli) vi. ser hedionda el agua.,38
anaka',"anaka' s. fiera, bestia. ¡Ma'nen",38
anaka'palli,*anaka'palli (*anaka'lli) vt.,38
anaka'tapalli,"*anaka'tapalli (*anaka'tulli) vi. comer por una fiera, ser",38
anakatek,anakatek s. pumagarza.,39
analu'tapalli,"*analu'tapalli (*analu'tulli) vi. podrirse, malograrse la carne. Asu' samer",39
ananker',ananker' vt. ¡hílalo! ¡Ananker' pitellu! ¡Hila el algodón! ¡Ananker ilallin! ¡Hila la soguilla!,39
ananpalli,"*ananpalli (*anañi) vt. hilar,",39
anantapalli,*anantapalli (*anantulli) vi.,39
ananter',"ananter' vi. ¡hila! ¡Ananter',",39
anapalli,*anapalli vi. apestar. Kua,39
anaser,"anaser s. zorro, zorrillo, zarigüeya, raposa; especie de",39
anauksa,anauksa cf: anaweksa. s.,39
anaweksa,anaweksa cf: anauksa. s.,39
aner,aner prt. PROH. ¡Aner,40
añillina,añillina (cast. anilina) s. anilina. ¡Kutunpen piser' añillinak! ¡Remoja tu camisa,40
añimer,añimer (cast. animal) s. animal.,40
añimercha,"añimercha s. insecto, animalito.",40
-ankudek,-ankudek v. > nom. sufijo de,40
ankui'chek,ankui'chek (ankuei'chek) s.,40
ankun,"ankun s. güiririma, palmera",40
ankun-lada,ankun-lada s. semilla de güiririma. Laman,40
ankunlan,ankunlan s. palmera palmiche.,40
-anma',-anma' v. > nom. sufijo de,41
-anna',-anna' v. > nom. sufijo de,41
"anpenña,","anpenña, anpenñan s. árbol",41
anpi,"anpi s. sachamango, sachamangua. Akichek anpimekkek. Voy a hacer",41
"anpina,","anpina, anpinan s. ala.",41
"anpu,","anpu, anpun adj. profundo,",41
anpuk,anpuk kinekla adv. en la,41
anpulu'1,anpulu'1 s. 1) pluma. Duwin,41
anpulu'2,"anpulu'2 nom. chupadera, parte",42
anpulu'tek,anpulu'tek idimunan s. frazada. Anpulu'tek,42
anpundek,"anpundek nom. hondo, parte",42
anu'dektapalli,"*anu'dektapalli (*anu'dektulli) vi. caerse al agua. Pidik anu'dektulli,",42
anu'palli,*anu'palli (*anu'lli) vi. caerse.,42
anu'tapalli,*anu'tapalli (*anu'tulli) vt.,42
apektapalli1,*apektapalli1 (*apektulli2) vt.,42
apektapalli2,*apektapalli2 (apektulli1) vt.,43
apekter'2,apekter'2 vt. ¡rómpelo pisando! ¡cháncalo pisando! Mishaku,43
apekter'1,apekter'1 vt. ¡quémalo! ¡Ipa',43
apellu'wanpalli,apellu'wanpalli (apellu'wañi) vi. estar nublado. Aner,43
apenñalun,"apenñalun nom. fea, mujer fea. ¡Yasadata apenñalunlek. ¡No te cases con la fea! lun; cf: apenñanpen.",43
apenñanpen,"apenñanpen nom. feo, hombre feo. Kulla sudalli",43
aper'a'su',aper'a'su' lli'apalli (aper'a'su' lli'lli) vi.,43
aper'apalli,*aper'apalli (*aper'lli) vi. 1),43
aperapalli,*aperapalli (*apelli; *aperlli) vb. robar. Wa'dantekwek,43
aperapilalli,"aperapilalli vi. estar mal, ser",44
apetchulli),*apetchulli) vt. robar.,44
aperchutek,aperchutek s. ladrón.,44
aperdan,"aperdan nom. yuca fea,",44
aperin,"aperin s. primo, prima.",44
aperker',aperker' vt. ¡róbalo!,44
aperku'ker',aperku'ker' vt. ¡mezquínalo! ¡protégelo! ¡Aperku'ker',44
aperku'palli,*aperku'palli (*aperku'lli) vt.,44
aperku'tapalli,*aperku'tapalli vb. mezquinar,44
aperku'tek,"aperku'tek nom. mezquino,",45
aperku'tek'inpu',aperku'tek'inpu' nom. no,45
aperku'ter',aperku'ter' vb. ¡mezquínale! ¡mezquínacelo!,45
aperkullikertapalli,*aperkullikertapalli (*aperkullikertulli) vt.,45
apermek,apermek nom. hoja fea. mek1.,45
aperpi1,aperpi1 nom. 1) objeto feo. Pidir,45
aperpi2,"aperpi2 nom. huayo feo, fruto feo,",45
ape'cha,apetcha (apercha; ape'cha) s. tío paterno (de hombre o de,45
api'ka'pi,api'ka'pi nom. a la brasa.,45
Asu',apisadatutek nom. celoso. Asu',45
apisadatutekpen,apisadatutekpen nom. hombre,46
apisanpalli,*apisanpalli (*apisañi) vt.,46
apisen,apisen vt. ¡recuéstalo! ¡Nerkutek,46
apisudatutek,apisudatutek nom. celosa.,46
apisudatuteklun,apisudatuteklun nom. mujer celosa. lun; cf: apisadatutekpen.,46
apiyuku'ker',apiyuku'ker' (apiyuku'r) vt. ¡déjalo como nuevo!,46
apiyuku'palli,*apiyuku'palli (*apiyuku'lli) vt. hacer que algo luzca como,46
apu,"apu s. tocaya, mujer que tiene el",46
apu'dektapalli,*apu'dektapalli (*apu'dektulli) vt. soltar en el agua. Arkichu,46
apu'ker',apu'ker' (apu'r) vt. ¡suéltalo!,46
apu'palli,*apu'palli (*apu'lli) vt. 1) soltar ago. Arkichu kusher,46
apu'tapalli,*apu'tapalli (*apu'tulli) vi. 1),46
apulli',"apulli' s. tocayo, hombre que",47
apunantapalli,*apunantapalli (apunantulli) vb. regalar. Amishawek,47
apunanter',apunanter' vb. ¡regálale!,47
ka'lli,arús s. arroz. Marli ka'lli,47
asek,asek adv. aquí. Kua,47
ashatu',ashatu' s. suegra de una mujer.,47
ashatu'sha,ashatu'sha s. tía materna (de,48
ashin,ashin s. 1) su madre. Nana,48
ashinsha,ashinsha s. abuelita.,48
ashu',ashu' s. camote. Uklupidek,48
ashu'llinku,"ashu'llinku s. camotillo, especie de soga que crece en el canto de las quebradas.",48
ashu'shak,"ashu'shak adv. aquicito, lugar",48
asi,asi s. sarna. ¡Wilapen asinen,48
asila,"asila s. inchahui, tubérculo.",48
asipalli,"asipalli (asilli) vi. ser sarnoso,",48
asitek,asitek nom. persona con piel,49
asu',"asu' silana, asu' silanan adv. de este lado, en este lado.",49
asu'lupa',asu'lupa' adv. por acá.,49
asunwek,"asunwek s. arete, pendiente.",49
atamutu',"atamutu' s. tapa de la cumbrera,",49
atantapalli,*atantapalli (*atantulli) vt.,49
atanter',atanter' vt. ¡cúbrelo! ¡Ukta,49
aten-kumala,aten-kumala s. especie de cumala. Ka'lek,49
atu'tapalli,*atu'tapalli (*atu'tulli) vt.,50
atu'ter',atu'ter' vt. ¡pisa algo agudo! ¡Chilu atu'ter'! ¡Pisa a la,50
atudu'palli,*atudu'palli vi. resbalarse.,50
auklu'lli,*auklu'lli; *aweklu'lli) vi.,50
auranker',auranker' vb. ¡dale de comer!,50
auranpalli,*auranpalli (*aurañi) 1) vb.,50
a'weranpalli.,*a'weranpalli. 2) vt. repartir la comida.,50
awa,awa s. madre.,50
Awa'lusa',Awa'lusa' Ukllinen s. Dia de la Madre. SantaCruz-,51
awapi,"awapi s. 1) chopé , tipo de árbol.",51
awapu'a'su',awapu'a'su' s. madrastra.,51
awerama,"awerama s. pez chambira, zorro challuwa. Aweraman latek",51
awermek'apalli,awermek'apalli (awermeklli) vi. marchitarse. Mila',51
awilen'apalli,awilen'apalli (awilenñi) vt. aguaitar. Nana wila,51
awilenapakuñi,*awilenapakuñi (*awilenkuñi) vi. ir a aguaitar. Idu pidekñik ima,51
awilentapalli,"*awilentapalli (*awilentulli) vi. aguaitar, atisbar, espiar.",51
awinan,"awinan s. mono blanco, machín blanco. Awinan panellina'",51
awinenchapalli,*awinenchapalli (*awinenchulli) vt. poner,52
awinencher',awinencher' vt. ¡soléalo!,52
awiñiyunker',awiñiyunker' vt. ¡soléalo (ropa)!,52
awiñiyunpalli,*awiñiyunpalli (*awiñiyuñi) vi. solear ropa. Awiñiyuñi,52
cha'chushala,"cha'chushala adv. despacito,",52
chacha',"chacha' s. chupos, diviesos.",52
chacha'tapalli,"chacha'tapalli (chacha'tulli) vi. tener chupos, tener diviesos. Ñashi landu'ñik",52
chai,"chai prt. 1) caramba, pues.",53
chek'apalli,*chek'apalli (cheklli) vi. ser,53
"chekluna,","chekluna, cheklunan s. mono huapo. Chekluna i'na",53
chi,chi prt. expresión de pena usada por hombres. Kua,53
chi'chi',"chi'chi' s. pajarito ""chi'chi'"".",53
chi'chi'-tera',chi'chi'-tera' s. parásito llamado,53
chi'lek,"chi'lek s. carachupa, armadillo.",53
chi'lek-kanka,chi'lek-kanka s. carachupa,53
