headword,entry_text,page,mode
a'da'ter',"a'da'ter' vb. ¡pónselo! ¡ponle! ¡A'da'ter' piwala'lli'nen yuyu'washapen! ¡Ponle el pantalón a tu hermanito! a'da'tulli a'da'tapalli a'da'wilek'apalli (a'da'wileklli) vt. cambiar algo, reemplazar algo. Ipa' a'da'wileklek asu' panpektek. Ya he cambiado las crisnejas (del techo de mi casa). 5 *a'dandektapalli",6,shi
a'da'wilekker',a'da'wilekker' vt. ¡cámbialo! ¡reemplázalo! Nana pentuna aku'a'masu' kudinan. ¡A'da'wilekker'! El puente que has puesto es liso. ¡Cámbialo! a'da'wileklli a'da'wilek'apalli *a'dandektapalli (*a'dandektulli) vt. pescar con canasto. Wilawek a'dandektulli wapu' pekta. Mi hijo ha agarrado con canasto bastante mojarra. dek2.,7,shi
a'dandekter',a'dandekter' vt. ¡péscalo con canasto! ¡Pekta a'dandekter'! ¡Pesca mojarra con canasto! *a'dandektulli *a'dandektapalli,7,shi
a'dandektunan,"a'dandektunan s. red de pescar. A'dandektunanpen alan'u, Panpadeklupa' yapa'lek. Préstame tu red, quiero ir por el Pampayacu. *a'dañi1 *a'danpalli1 *a'dañi2 *a'danpalli2",7,shi
a'danker'1,a'danker'1 vt. ¡péscalo con trampera o canasto! ¡A'danker' asu' pekta lantekpilek! ¡Agarra la mojarra con canasto!,7,shi
a'danker'2,"a'danker'2 vt. ¡péinale! ¡A'danker' sudanpen, chimenwañinpa'! ¡Peinale a tu esposo, seguramente tiene piojos! a'du'ker'",7,shi
a'danpalli1,"*a'danpalli1 (*a'dañi1) vt. peinar. Ekkuinanlek a'denchek wilawek. Voy a peinar a mi hijo con un peine. cf: ekkuina, ekkuinan.",7,shi
a'danpalli2,*a'danpalli2 (*a'dañi2) vt. pescar con trampera o canasto. A'dañi a'lanan. Hizo caer un fasaco en la trampera.,7,shi
a'dantapalli,*a'dantapalli (*a'dantulli) vt. contagiar una enfermedad. ¿Ma'ki'na kenmama' asu'lupa' uklama'? Sa'la' a'dantetchenmu'wa'. ¿Por qué han venido por acá? Nos van a contagiar el cuchipi. sinón.: *dantapalli.,7,shi
a'danter',a'danter' vt. ¡contágiale! *a'dantulli *a'dantapalli a'der' a'da'ker',7,shi
a'diuntundekker',"a'diuntundekker' vt. ¡reúnelos! ¡A'diuntundekker' wilalusa'! Yalunek nawa'lek. ¡Reúne a los hijos! Quiero hablar con ellos. *a'diuntuñi *a'diuntunpalli *a'diuntunpalli (*a'diuntuñi) vt. hacer que se reunan, reunir. Wa'an ñinanlu' a'diuntuñi. El gobernante reunió al pueblo. val.: *diuntunpalli, *indiuntunpalli.",7,shi
a'du'ker',a'du'ker' vt. ¡siéntalo! ¡Nana lanchimekkek a'du'ker'! ¡Siéntalo sobre la estera! val.: *a'du'palli 6 a'du'ter'. *a'du'lli *a'du'palli,7,shi
a'du'palli,*a'du'palli (*a'du'lli) vt. sentar algo o a alguien. Kishu ukta a'du'lli penkek. Jesús sentó la olla en la candela. val.: *du'apalli; val.: a'du'tapalli 2) .,8,shi
a'du'tapalli,a'du'tapalli (a'du'tulli) 1) vi. sentar (sin objeto). Ipa' a'du'tulli. Ya sentó (algo). 2) vt. sentar sobre algo. Lanchimek a'du'tulli nana amiler. La abuelita lo sentó sobre la estera. val.: *a'du'palli.,8,shi
a'du'ter',a'du'ter' vt. ¡siénta(lo) sobre eso! ¡Nana lanchimek a'du'ter'! ¡Siénta(lo) sobre la estera! val.: a'du'ker'. a'du'tulli a'du'tapalli,8,shi
a'dudektuna,"a'dudektuna, a'dudektunan s. reservorio de barro donde se deposita la chicha punta para que se enfríe y fermente. Amishawek uklutulli a'kapentunak. Nu'an upetlli a'dudektunak. Mi abuelita preparaba chicha punta en el tinajón ""a'kapentuna"". Después la vaciaba a la ""a'dudektunan"". cf: a'kapentuna, a'kapentunan. *a'dulerchulli *a'dulertapalli *a'dulertapalli (*a'dulerchulli) vt. producirle o sacarle pus a alguien. Asunwek a'dulerwektullun. El arete me sacó pus de la oreja. Mikir sankallinler pawektulli, a'duletchulli. A Miguel el garabato le hincó y le produjo pus. a'ike'cheklli *a'iketchek'apalli a'ike'chektutek a'iketchektutek *a'iketchek'apalli (a'ike'cheklli;",8,shi
a'iketcheklli,"a'iketcheklli) vt. embrujar a alguien. Mañir chiminpilalli a'iketchekllina'. Manuel está muriendo porque lo embrujaron. Pipera'su' llinan wa'danen tanak kapetlla. Nanek a'iketchekllen. Has encontrado al espíritu de la lupuna colorada en el monte. Ahí te ha embrujado. cf: ikerchek. a'iketcheklli *a'iketchek'apalli a'iketchektutek (a'ike'chektutek) nom. brujo. A'iketchektutekler da'wanlek a'kiteklli Dañir. Nanalek chimiñi. El brujo hizo que la víbora muerda a Daniel. De eso murió. sinón.: supai ñinchita'su'. *a'imanantapalli (a'imanantulli) vt. asustar. A'imanantullun asu' chillilen, menmiklan 7 a'imananter' adanpilencha'a'seku. El trueno me asustó cuando regresaba de la chacra. val.: *imanantapalli.",8,shi
a'imananter',a'imananter' vt. ¡asústalo! ¡A'imananter' asu' Priyasha wichi'npu'kek dekpilli'! ¡Asústala a Priya para que no duerma de noche! a'imanantulli *a'imanantapalli,9,shi
a'ka,"a'ka prt. ciertamente, por el contrario. Ipa'la'ka ka'echin. Ahora sí te voy a comer.",9,shi
a'ka'apalli,a'ka'apalli (a'ka'lli) vb. dar de comer. Kushellu' wilalusa' a'ka'dek'i'nek. No se les da de comer carne de chancho a los niños.,9,shi
a'ka'ker',"a'ka'ker' vb. ¡dale de comer eso! ¡Wilapen chuchu a'ka'ker'! ¡Dale de comer carne a tu hijo! a'ka'lli a'ka'apalli *a'kankantapalli (*a'kankantulli) vt. hacer reflexionar, recordar. Malallina nana nu'su' a'kankantullundek. Malallina es la que nos ha hecho reflexionar. Juan Mañirpu'su' a'kankantullun, u'su' pekta man. Juan me está recordando a Manuel por cómo agarra mojarra.",9,shi
a'kankanter',a'kankanter' vt. ¡hazle recordar! ¡recuérdale! ¡Wishiku a'kaserker' a'kankanter' Erpinek yapantaa'su'kin! ¡A Vicente hazle recordar que vaya al Aipena! *a'kankantulli *a'kankantapalli,9,shi
a'kapen'apalli,a'kapen'apalli (a'kapenñi) vt. asar algo en el fuego. Wilalunwek a'kapen'apalli mama'. Mi hija está asando sachapapa. val.: *kapen'apalli.,9,shi
a'kapenker',a'kapenker' vt. ¡ásalo! ¡Ker' a'kapenker' musu'! ¡Asa bien la yuca! a'kapenñi a'kapen'apalli,9,shi
a'kapentuna,"a'kapentuna, a'kapentunan s. olla o tinajón de barro para hervir yuca y preparar chicha punta. Amishawek uklutulli a'kapentunak. Mi abuelita preparaba chicha punta en tinajón de barro. cf: a'dudektuna, a'dudektunan. a'kase'lli *a'kaserapalli *a'kaserapalli (a'kaserlli;",9,shi
a'kasetlli,a'kasetlli; a'kase'lli) vt. endulzar. Waka'mudidek a'kaserak ulek. La leche de vaca se la endulza y se bebe.,9,shi
a'kaserker',"a'kaserker' vt. ¡endúlzalo! ¡Waka'mudidek a'kaserker'! ¡Endulza la leche de vaca! a'kaserlli *a'kaserapalli -a'kasu' 8 a'kasetlli *a'kaserapalli -a'kasu'1 v. > nom. Sufijo nominalizador, el objeto es afectado por la acción de la base verbal en cuestión, sujeto de primera persona singular; lo que yo. Asu' llinsetcha'kasu' aper'a. Esto que he escrito está mal. Kutu'wek ikellin nakusu' dekkunta'kasu' malek. Mi pierna me duele porque he caminado mucho. -a'kasu'2 v. > nom. sufijo nominalizador, objecto afectado por la base verbal en cuestión, sujeto de primera persona singular inclusiva; lo que tú y yo. Kenmu' teraa'kasu' tanku ipa' lunlunwañi. El plátano que tú y yo sembramos ya echó racimo.",9,shi
a'katen'apalli,*a'katen'apalli (a'katenñi) vt. poner algo en la boca de otro. Aminenler a'katenñi pinter. Su abuela le puso tabaco en la boca (al niño).,10,shi
a'katenker',"a'katenker' vt. ¡ponle en la boca! ¡pónselo en la boca! ¡Pinter a'katenker'! ¡Ponle tabaco en la boca! a'katenñi *a'katen'apalli -a'kawa'su' v. > nom. sufijo nominalizador, objeto afectado por la base verbal en cuestión, sujeto de primera persona plural inclusiva; lo que nosotros (inclusivo), lo que nosotras (inclusivo). Kalu'ta'kawa'su' ka'awa'. Lo que hemos cocinado (sopa), vamos a comer. -a'kudeksu' (-a'kudu'su') v. > nom. sufijo nominalizador, objeto afectado por la base verbal en cuestión, sujeto de primera persona plural exclusiva; lo que nosotros (exclusivo), lo que nosotras (exclusivo). Tatawidek dunker'apalli ka'a'kudeksu'. Nuestro padre está buscando lo que comemos/nuestra comida. -a'kudik v. 1) para que nosotros (exclusivo). U'dapilada teraa'kudik. La semilla de pijuayo es para que sembremos (nosotros exclusivo). 2) sufijo verbal que indica una situación irrealis, sujeto de tercera persona singular actuando sobre un objeto de primera persona plural exclusiva; para que él a nosotros (exclusivo). Nu'pachi munu'tawa', nananta' munu'ta'kudik. Entonces tratémosle bien para que él también nos trate bien. -a'kudu'su' -a'kudeksu'",10,shi
a'la'ker',a'la'ker' (a'ler') vt. ¡hazle dietar! ¡haz que se abstenga de comer! ¡Mikir Antuñu a'la'ker'! ¡A Miguel Antonio hazle dietar! val.: a'la'ter'. a'la'lli *a'la'palli 9 *a'la'tapalli,10,shi
a'la'palli,"*a'la'palli (a'la'lli) vt. hacer dietar a alguien, hacer que alguien se abstenga de comer algo. Lulenta'su'ler a'la'lli Mikir Antuñu kaludun ka'inpu'ek. El curandero le hizo dietar a Miguel Antonio, (dijo) que no coma maparate. val.: *a'la'tapalli.",11,shi
a'la'tapalli,"*a'la'tapalli (*a'la'tulli) vb. hacer dietar algo a alguien, hacer que alguien se abstenga de comer algo. Lulenta'su'ler Idu kaludun a'la'tulli. El curandero le hizo dietar maparate a Eduardo. val.: *a'la'palli.",11,shi
a'la'ter',a'la'ter' vb. ¡hazle dietar algo! ¡Mikir Antuñu kaludun a'la'ter'! ¡A Miguel Antonio hazle dietar maparate! val.: a'ler'; val.: a'la'ker'. *a'la'tulli *a'la'tapalli,11,shi
a'lachikta'asu',"a'lachikta'asu' nom. intérprete, traductor. Shiwiluku'lusa' Muyunpak ektu'a'ser, asu' a'lachita'su' luntudeklli Shiwilu la'lekla. Cuando los finados shiwilu llegaron a Moyobamba, el intérprete les habló en su idioma shiwilu.",11,shi
a'lana,"a'lana, a'lanan s. fasaco, especie de pez. Kui'na chiapalek a'lanan sudawek puer'an ma'su'. Estoy ahumando el *a'lawinpalli fasaco que mi esposo ha agarrado en la pesca. a'lanan-taserpi a'lanan-taspi a'lanan-taspi (a'lanantaserpi) s. fasaco muy grande. ¡Ma'ta'nki asu' a'lanantaspi! ¡Ah caramba, qué fasaco tan grandote! a'lananpilek ""con el cuerpo del fasaco"" s. fasaco machaco, especie de serpiente. A'lananpilek kitektapi'ñi, a'llupilek. El fasaco machaco no muerde pero es grande. a'lata'lli *a'lata'palli",11,shi
a'lata'palli,"*a'lata'palli (a'lata'lli) vb. hacer probar algo a alguien, hacerle comer un poquito de algo a alguien. Lulenta'su'ler a'lata'lli damula pekkupi, la'inek'a'su'. El curandero le dio de probar sal icarada al que terminó de dietar. val.: *lata'palli. *a'lawiñi *a'lawinpalli",11,shi
a'lawinker',a'lawinker' vi. ¡corre la voz! Eluku ala'sa' panwala di'tulli. ¡Panta'n a'lawinker'! Eleuterio mató una sachavaca. ¡Vete y corre la voz!,11,shi
a'lawinpalli,"*a'lawinpalli (*a'lawiñi) vt. hacerle fama a algo o alguien, correr la fama de algo o alguien. Kudaler Ipullitu a'lawinpallidek kala a'lek'apalli 10 laman di'ta'su' malek. Nosotros le hacemos fama a Hipólito porque cazó tres huanganas. Damerita kadu' a'lawinekwa' ka'akwa'. Nosotros le hacemos fama al huevo de taricaya y lo comemos. val.: *lawinpalli.",11,shi
a'lek'apalli,"a'lek'apalli (a'leklli) vb. enseñar algo a alguien. Kua itudeklek a'lek'uku Shiwilu la'la'. Yo les dije que me enseñen el idioma shiwilu. Wanpi'lusa' ima tatawek a'lekllina' siluta'su'. Los dueños del carnaval le enseñaron a mi padre a yupanear. Nawa' asu' a'lekllinerkenmu'wa' tumu'akawek, apetchakawek, di'akawek. Ellos (los españoles) nos enseñaron a mentir, a robar y a matar. val.: *a'lektapalli, *lek'apalli.",12,shi
a'lekker',"a'lekker' vb. ¡enséñale! ¡enséñaselo! ¡Libiá, a'lekdekker' llinsetcha'su' asu' kaikualusa', ñinchillinsetchi'ñina'! ¡Libia, enséñales a escribir a estas hermanas, no saben escribir! a'leklli a'lek'apalli",12,shi
a'lekta'su',"a'lekta'su' nom. maestro, profesor, el que enseña. A'lekta'su'ler a'ñinchitapiladeklli wilalusa', ñinchitupidik. El profesor está enseñando a los niños en la escuela. Sadawek a'lekta'su'. Mi esposa es profesora. cf: a'lekterkasu'.",12,shi
a'lektapalli,"*a'lektapalli (*a'lektulli) vi. enseñar. Senñula' Angélica Ancash ñinanlukla uklli Shiwiluk ya'lektan malla'erkek. La madre Angélica vino de Ancash a Jeberos para enseñar a rezar. val.: *lek'apalli, a'lek'apalli.",12,shi
a'lekter',a'lekter' vi. ¡enseña! ¡A'lekter' ninchitupidekkek! ¡Enseña en la escuela!,12,shi
a'lekterkasu',"a'lekterkasu' nom. profesores, maestros, los que enseñan. Sadanpenma' a'lekterkasu'. Las esposas de ustedes son profesoras. cf: a'lekta'su'.",12,shi
a'lektu-pidek,"a'lektu-pidek s. escuela, centro educativo primario. A'lektupidekkek i'na wilalusa' a'lek'apadekllina' a'lektulusa'ler. En la escuela los maestros están enseñando a los niños. cf: ñinchitu-pidek. *a'lektulli *a'lektapalli a'lelli *a'lerapalli a'ler' a'la'ker'",12,shi
a'lerapalli,"*a'lerapalli (a'lelli) vt. asar (la yuca), hornear (pan). Chiter 11 a'lerker' peksantapamu nana inkaluner ker'unta' a'ler'apalek alei'teklundan. Mientras muelo el maíz, voy asando también la yuca, cinco yucas enteras. Tulio a'ñapalli urñu'. Nanek a'lerapalli tanta'. Tulio tiene horno. Allí asa el pan. Ya' katu'dan a'lellek. Ayer asé dos tubérculos largos.",12,shi
a'lerker',a'lerker' vt. ¡ásalo! ¡A'lerker' ker'! ¡Asa la yuca!,13,shi
a'lerpi,"a'lerpi nom. tubérculo o plátano asado. Mañir tanku a'lerpi ka'apan paki'lli, naneklan ikerchiteklli. Manuel comió plátanos asados y se atoró, por eso le dolió el pecho. pi3 1) .",13,shi
a'lli'tapalli,"a'lli'tapalli (a'lli'tulli) vt. hacer que otro se dé cuenta, hacer que otro sea consciente. Malallina nu'su' a'lli'tullundek. Malallina es la que hizo que nos demos cuenta. a'lli'tulli a'lli'tapalli",13,shi
a'llupi,"a'llupi adj. grande. Unma' i'na samer a'llupi. El paiche es un pez grande. Kua luwantulek a'llupi pidek. Quiero una casa grande. superlatat: a'pinta' a'llupita'su'. a'llupipi1 , a'llupipi2 , a'llupipi2 a'llupimek hoja gruesa, grande. Petchula a'llupinan, *a'llupitapilalli a'llupimek, a'llupipi. El pan de árbol es de ramas gruesas, hojas grandes y fruto grande. mek1. a'llupinan ramas gruesas de un árbol. Petchula a'llupinan, a'llupimek, a'llupipi. El pan de árbol es de ramas gruesas, hojas gruesas y fruto grande. nan. a'llupinantapilalli (a'llupinantulli) vi. ser o hacerse grande o grueso un árbol. Deksamerkanka nalu menmik a'llupinanta'su' wilenkek pidekwañi. La avispa huairanga en una chacra recientemente quemada, debajo de un árbol grueso hace su nido. nan. a'llupinantulli a'llupinantapilalli a'llupipi1 (a'llupi) fruto grande Asu' serenpa a'llupipi. Esta piña es grande. pi4. a'llupipi2 (a'llupi) objeto grande. Asu' ullinan a'llupipi nuka'a. Este tinajón es grande. Asu' pidek a'llupipi nuka'a. Esta casa es grande. pi3 1) .",13,shi
a'llupitapilalli,"*a'llupitapilalli vi. crecer, hacerse grande, ser grande. Asu' penku saputek a'llupitulli. Este pato poco desarrollado creció. Isha i'na a'llupita'su' ilanser. El paujil es un ave grande. -a'mama'su' 12 -a'mak v. > v. sufijo nominalizador, modo irrealis, sujeto de segunda persona singular; para que tú hagas algo. Ipa'la wadunpi mama' enketchek sadanpen akusuichin ka'a'mak. Voy a darle las sachapapas escogidas a tu esposa para que te las cocine y comas. -a'mama'su' v. > nom. sufijo nominalizador, objeto afectado por la base verbal en cuestión, sujeto de segunda; lo que ustedes. Ka'a'mamasu' supinak, inwinsekku'. Después de que coman ustedes, lávense las manos. Kua enka'pallenma' ka'a'mamasu'. Yo les doy lo que ustedes comen. Lli'inuta'mama'su' yasaka'tulama'. Conforme acordaron ustedes, van a trabajar. -a'masu' v. > nom. sufijo nominalizador, objeto afectado por la base verbal en cuestión, sujeto de segunda persona singular; lo que tú. ¡Ka'a'masu' enmur! ¡Vomita lo que has comido! ¡Isa'ter, kana'nmasu' uwaler! ¡Mete la mano (por la ventana) y jala lo que encuentres! a'me'cha a'mercha a'me'chala a'merchala a'me'chinchi a'merchinchi",13,shi
a'mer,"a'mer adj. pequeño. Iñer ilanserlluseklan wenki'na a'mer. De todas las aves el yanayutu es pequeño. a'mercha , a'merpi1 a'mercha (a'me'cha; a'metcha) (a'mer, =sha) 1) adj. pequeñito, chiquito, muy pequeño. Iñer añimallusekla uwen a'mercha, da'ilek tusen i'na a'merchinchi. De todos los animales la garrapata es muy pequeña; sin embargo, el isango es el más pequeño. A'metchalusa'ler dunwellina'. Los pequeños los siguieron. 2) adv. un poquito, poquito. ¡Luwantuu a'metcha ten! ¡Quiéreme un poquito, pues! a'merchala (a'metchala;",14,shi
a'me'chala,a'me'chala) adv. poco a poco. A'metchala llinsetchapalekwa' kirka' lawer'lla'la' ñak. Poco a poco estamos escribiendo el diccionario. a'merchinchi (a'me'chinchi;,14,shi
a'metchinchi,"a'metchinchi) adj. pequeñísimo, el más pequeño. Iñer añimallusekla uwen a'mercha, da'ilek tusen i'na a'merchinchi. De todos los animales la garrapata es muy pequeña; sin embargo, el isango es el más pequeño. 13 a'merpi a'merpi1 (a'mer) fruto pequeño. Asu' ekpa a'merpisha Este caimito es pequeño. pi4. a'merpi2 objeto pequeño. a'metcha a'mercha a'metchala a'merchala a'metchinchi a'merchinchi",14,shi
a'nakuker',a'nakuker' vt. ¡déjalo pasar! *a'nakulli *a'nakupalli,15,shi
a'nakupalli,*a'nakupalli (*a'nakulli) vt. dejar pasar a alguien o algo. Wala'wanlusa'ler a'nakudeki'ñi. Los policías no los dejaron pasar. val.: *nakupalli 1) .,15,shi
a'nañiker',a'nañiker' (a'nañir') vt. ¡reparte! ¡haz alcanzar! ¡A'nañir' samer! ¡Aner kenmasa' yaka'tan! ¡Reparte el pescado! ¡No comas solo! a'nañilli a'nañipalli,15,shi
a'nañipalli,a'nañipalli (a'nañilli) vt. repartir algo (no se expresa el beneficiario). Awa a'nañipalli lalansha'. Mamá está repartiendo naranjas. val.: *a'nañitapalli. a'nañir' a'nañiker' *a'nañitapalli (*a'nañitulli) vb. repartir algo a alguien. Wilaweklusa' a'nañitudek'etchek samer. A mis hijos les voy a repartir pescado. Kulla a'nañitudeklli lalansha' *a'pa'tapilalli wilalusa'. Julia ha repartido naranjas a los niños. val.: a'nañipalli.,15,shi
a'nañitudekker',a'nañitudekker' vb. ¡repárteselos! ¡Lalansha' a'nañitudekker' yalli'wapenlusa'! ¡Reparte las naranjas a tus hermanitos! *a'nañitulli *a'nañitapalli,15,shi
a'ñapalli,*a'ñapalli (*a'ñilli) vt. tener. Malallina a'ñapalli kala chipetchek. Magdalena tiene tres mosquiteros. Iteklawek a'ñilli alei'teklun damellawan. Mi mano tiene cinco dedos. *a'ñilli *a'ñapalli,15,shi
a'nu'tapalli,"*a'nu'tapalli (*a'nu'tulli) vb. hacer que otro haga algo, mandar a hacer. Sudawek nun a'nu'tulli Kulluk. Mi esposo mandó a hacer una canoa donde Julio. Kua a'nu'tullen ukta. Yo te mandé a hacer olla. val.: *nu'tapalli, *nu'lli.",15,shi
a'nu'ter',a'nu'ter' vb. ¡mándale a hacer! ¡Uklulu' a'nu'ter' kaikuapenlusa'. ¡Manda a hacer masato a tus hermanas menores! *a'nu'tulli *a'nu'tapalli,15,shi
a'pa'tapilalli,"*a'pa'tapilalli (*a'pa'tulli) vb. enviar, mandar. Wilawek Yurimawekla a'pa'tullun kulliker (Kusilek). Mi hijo me envió dinero de Yurimaguas (con José). *a'padiperapalli 14",15,shi
a'pa'ter',"a'pa'ter' vb. ¡mándaselo! ¡envíaselo! ¡Wilapenlusa' kutunen a'pa'ter'! ¡Envía camisas a tus hijos! *a'pa'tulli *a'pa'tapilalli *a'padipelli *a'padiperapalli, a'padiperapilalli *a'padiperapalli (*a'padipelli) vi. sanarse de una enfermedad. Dañir a'padiperapilalli sa'la' kaluwiklan. Daniel está sanando del cuchipi. Sankuperak kala uwidenpa mutu' a'uklukak ulek. Nanalek a'padipellek. Cuando se tiene anguchupo, se hierve tres papitas de sicsi y se bebe. Con eso se sana. a'padiperapilalli (*a'padipelli) vi. mejorarse, estar en el proceso de sanarse. Iñinun wilalusa' chinku'teklusa'kin u'chimu. Uwanna' a'padipellina' La miel de abeja es buena para los niños que tosen a menudo. Bebiendo se sanan.",16,shi
a'padiperker',"a'padiperker' vi. ¡mejórate! ¡A'padiperker', lansa'pa'tukunwa! ¡Mejórate para irnos a bailar! *a'pasen'apalli (*a'paseñi) vt. empollar, picar el huevo para que nazca el pollito. Wa'dantek a'paseñi sukta kadu'. La gallina empolló seis huevos. Musu' a'paseñu awawek. ""Mi mamá me empolló bien"" (habla el pollito). cf: a'pasenkapalli. *a'paseñi *a'pasen'apalli",16,shi
a'pasenkaker',a'pasenkaker' vi. ¡haz empollar (el huevo por otra gallina)! ¡Ali'la wa'dantekkek a'pasenker'! ¡Hazle encubar donde otra gallina! a'pasenkalli a'pasenkapalli a'pasenkapalli (a'pasenkalli) vt. hacer empollar el huevo con otra gallina. Wa'dantekwek ñinchida'per'i'ñi. Ali'la wa'dantekkek a'pasenkalek. Mi gallina no sabe incubar. Donde otra gallina voy a hacer incubar (el huevo). cf: *a'pasen'apalli; val.: *pasenkapalli.,16,shi
a'pasenker',"a'pasenker' vt. ¡empolla! ¡Musu'la' a'pasenker' kadu'pen! ¡Empolla bonito tu huevo! sinón.: a'yansenker'. a'pasuduñi a'pasudunpalli a'pasudunker' (a'pasundur') vi. ¡remienda! Ma'sha kulliker' a'ñi'nek kutunpen yamapa'tak. ¡A'pimuchu a'pasudunker'! No tengo plata para comprarte ropa. ¡Mejor, remienda! a'pasudunpalli (a'pasuduñi) vi. remendar. Wilawek Santos naninchi 15 a'pasuduntapalli a'pasudunpalli, ku'aperweinpu'. Mi hijo Santos él mismo está remendando (su ropa) porque no tiene mujer. dun; val.: a'pasuduntapalli.",16,shi
a'pasuduntapalli,"a'pasuduntapalli vt. remendar ropa. Wilawek naninchi a'pasuduntapalli kutunen, ku'aperweinpu'. Mi hijo él mismo está remendando su camisa porque no tiene mujer. val.: a'pasudunpalli.",17,shi
a'pasudunter',"a'pasudunter' vt. ¡remiéndalo! Ma'sha kulliker' a'ñi'nek kutunpen yamapa'tak. ¡A'pimuchu a'pasudunter' kutunpen! No tengo plata para comprarte ropa. ¡Mejor, remienda tu vestido! a'pasundur' a'pasudunker' *a'pe'chapalli a'pekdelli *a'pekderapalli *a'pekderapalli (a'pekdelli) vt. electrocutar a alguien. Nana wila wa'nallinteklek a'pekdellun. El niño me electrocutó con el alambre. val.: *pekderapalli.",17,shi
a'pekderchutek,a'pekderchutek nom. electricista. Pancho a'pekderchutek Sanantuñuk. Pancho es electricista en San Antonio. *a'pidatapalli,17,shi
a'pekderker',a'pekderker' vt. ¡electrocútalo! ¡A'pekderker apetchutek! ¡Electrocuta al ladrón! *a'pelli *a'perapalli,17,shi
a'perapalli,"*a'perapalli (*a'pelli) vt. fastidiar a alguien, molestar a alguien. ¡Aner ya'perapatun, pitetchapalek! ¡No me fastidies más, estoy hilando! Awawek nakusu' a'pellina' wa'danteklusa'ler. A mi mamá mucho le fastidian las gallinas. val.: a'perchapalli. a'perchapalli (*a'perchulli;",17,shi
a'petchapalli,"*a'petchapalli) vi. fastidiar, molestar, ser fastidioso. ¡Nala makun pulater! Nakusu' wa'danteklusa' a'perchullina'. ¡Vete a traer palos y cerca! Mucho molestan las gallinas. ¡Aner ya'perchuta a'pinta', piterchapalek! ¡No fastidies más, estoy hilando! val.: *a'perapalli. *a'perchulli a'perchapalli *a'petchapalli a'perchapalli a'pidan yuca sancochada. Sunkawala ilu'palli a'pidan. La mosca ""sunkawala"" está lamiendo la yuca sancochada. dan. *a'pidatapalli (*a'pidatulli) vt. hacer que alguien se desvista, hacer que alguien se a'pidater' 16 quite la ropa. A'pidatetchek. Voy a hacer que se quite la ropa. val.: *pidatapalli.",17,shi
